Cochrane Review ID,Author(s),Title,Source,Year,Abstract,Issue,Publisher,ISSN,Keywords,DOI,URL,Cochrane Review Group Code
"CD008475.PUB2","Brown, J; Pan, A; Hart, RJ","Gonadotrophin‐releasing hormone analogues for pain associated with endometriosis","Cochrane Database of Systematic Reviews","2010",,"12","John Wiley & Sons, Ltd","1465-1858","Danazol [therapeutic use]; Drug Administration Routes; Dysmenorrhea [drug therapy]; Dyspareunia [drug therapy]; Endometriosis [*drug therapy]; Estrogen Antagonists [therapeutic use]; Female; Gonadotropin‐Releasing Hormone [*analogs & derivatives]; Humans; Levonorgestrel [therapeutic use]; Pain [*drug therapy]; Pelvic Pain [drug therapy]; Randomized Controlled Trials as Topic","10.1002/14651858.CD008475.pub2","http://dx.doi.org/10.1002/14651858.CD008475.pub2","Gynaecology and Fertility"
"CD007346.PUB3","Chi, CC; Wang, SH; Wojnarowska, F; Kirtschig, G; Davies, E; Bennett, C","Safety of topical corticosteroids in pregnancy","Cochrane Database of Systematic Reviews","2015",,"10","John Wiley & Sons, Ltd","1465-1858","Abnormalities, Drug‐Induced [etiology]; Administration, Topical; Adrenal Cortex Hormones [administration & dosage, *adverse effects]; Birth Weight [drug effects]; Case‐Control Studies; Cleft Lip [chemically induced]; Cleft Palate [chemically induced]; Cohort Studies; Dermatologic Agents [administration & dosage, *adverse effects]; Female; Humans; Infant, Low Birth Weight; Observational Studies as Topic; Pregnancy; Pregnancy Complications [*drug therapy]; Premature Birth [chemically induced]; Skin Pigmentation","10.1002/14651858.CD007346.pub3","http://dx.doi.org/10.1002/14651858.CD007346.pub3","Skin"
"CD008563","Humphreys, EH; Smith, NM; Azman, H; McLeod, D; Rutherford, GW","Prevention of diarrhoea in children with HIV infection or exposure to maternal HIV infection","Cochrane Database of Systematic Reviews","2010",,"6","John Wiley & Sons, Ltd","1465-1858","Anti-Infective Agents [therapeutic use]; Breast Feeding [adverse effects]; Child; Diarrhea [mortality, *prevention & control]; Female; HIV Infections [*complications, mortality, transmission]; Humans; Infant; Infectious Disease Transmission, Vertical; Micronutrients [therapeutic use]; Pregnancy; Pregnancy Complications, Infectious; Randomized Controlled Trials as Topic; Trimethoprim, Sulfamethoxazole Drug Combination [therapeutic use]; Vitamin A [therapeutic use]; Vitamins [therapeutic use]; Zinc [administration & dosage, deficiency]","10.1002/14651858.CD008563","http://dx.doi.org/10.1002/14651858.CD008563","HIV/AIDS"
"CD010109.PUB2","Deng, J; Huo, D; Wu, Q; Zhu, L; Liao, Y","Xuebijing for paraquat poisoning","Cochrane Database of Systematic Reviews","2013",,"7","John Wiley & Sons, Ltd","1465-1858","Drugs, Chinese Herbal [*therapeutic use]; Herbicides [*poisoning]; Humans; Paraquat [*poisoning]; Randomized Controlled Trials as Topic","10.1002/14651858.CD010109.pub2","http://dx.doi.org/10.1002/14651858.CD010109.pub2","Injuries"
"CD010100.PUB2","Brennan‐Jones, CG; White, J; Rush, RW; Law, J","Auditory‐verbal therapy for promoting spoken language development in children with permanent hearing impairments","Cochrane Database of Systematic Reviews","2014",,"3","John Wiley & Sons, Ltd","1465-1858","*Language Development; Child; Child Language; Early Intervention, Educational [*methods]; Hearing Loss [*rehabilitation]; Humans","10.1002/14651858.CD010100.pub2","http://dx.doi.org/10.1002/14651858.CD010100.pub2","Developmental, Psychosocial and Learning Problems"
"CD010110.PUB2","Yang, L; Yang, D; Li, Q; Zuo, Y; Lu, D","Neostigmine for reversal of neuromuscular block in paediatric patients","Cochrane Database of Systematic Reviews","2014",,"5","John Wiley & Sons, Ltd","1465-1858","*Neuromuscular Blockade; Child; Humans; Neostigmine [adverse effects, *therapeutic use]; Neuromuscular Nondepolarizing Agents [adverse effects, *therapeutic use]","10.1002/14651858.CD010110.pub2","http://dx.doi.org/10.1002/14651858.CD010110.pub2","Anaesthesia"
"CD008549.PUB3","Carberry, AE; Gordon, A; Bond, DM; Hyett, J; Raynes‐Greenow, CH; Jeffery, HE","Customised versus population‐based growth charts as a screening tool for detecting small for gestational age infants in low‐risk pregnant women","Cochrane Database of Systematic Reviews","2014",,"5","John Wiley & Sons, Ltd","1465-1858","*Growth Charts; *Infant, Small for Gestational Age; Female; Fetal Growth Retardation [*diagnosis]; Humans; Infant, Newborn; Pregnancy","10.1002/14651858.CD008549.pub3","http://dx.doi.org/10.1002/14651858.CD008549.pub3","Pregnancy and Childbirth"
"CD010106.PUB2","Furyk, JS; Meek, RA; Egerton‐Warburton, D","Drugs for the treatment of nausea and vomiting in adults in the emergency department setting","Cochrane Database of Systematic Reviews","2015",,"9","John Wiley & Sons, Ltd","1465-1858","*Emergency Service, Hospital; Adult; Antiemetics [*therapeutic use]; Droperidol [therapeutic use]; Female; Humans; Male; Metoclopramide [therapeutic use]; Nausea [*drug therapy]; Ondansetron [therapeutic use]; Prochlorperazine [therapeutic use]; Promethazine [therapeutic use]; Randomized Controlled Trials as Topic; Visual Analog Scale; Vomiting [*drug therapy]","10.1002/14651858.CD010106.pub2","http://dx.doi.org/10.1002/14651858.CD010106.pub2","Emergency and Critical Care"
"CD007496.PUB2","Wiysonge, CS; Kongnyuy, EJ; Shey, M; Muula, AS; Navti, OB; Akl, EA; Lo, YR","Male circumcision for prevention of homosexual acquisition of HIV in men","Cochrane Database of Systematic Reviews","2011",,"6","John Wiley & Sons, Ltd","1465-1858","*Circumcision, Male; *Homosexuality, Male; HIV Infections [*prevention & control, transmission]; Herpes Simplex [prevention & control, transmission]; Herpesvirus 1, Human; Herpesvirus 2, Human; Humans; Male; Syphilis [prevention & control, transmission]","10.1002/14651858.CD007496.pub2","http://dx.doi.org/10.1002/14651858.CD007496.pub2","HIV/AIDS"
"CD007495.PUB2","Tzortziou Brown, V; Underwood, M; Mohamed, N; Westwood, O; Morrissey, D","Professional interventions for general practitioners on the management of musculoskeletal conditions","Cochrane Database of Systematic Reviews","2016",,"5","John Wiley & Sons, Ltd","1465-1858","*Bone Density; Back Pain [diagnosis, therapy]; Bone Density Conservation Agents [therapeutic use]; Controlled Before‐After Studies; General Practitioners [*education]; Guideline Adherence; Humans; Interrupted Time Series Analysis; Musculoskeletal Diseases [*diagnosis, *therapy]; Osteoarthritis [diagnosis, therapy]; Osteoporosis [diagnosis, therapy]; Randomized Controlled Trials as Topic; Reminder Systems; Shoulder Pain [diagnosis, therapy]","10.1002/14651858.CD007495.pub2","http://dx.doi.org/10.1002/14651858.CD007495.pub2","Effective Practice and Organisation of Care"
"CD010118.PUB2","Hulzebos, EHJ; Smit, Y; Helders, PPJM; van Meeteren, NLU","Preoperative physical therapy for elective cardiac surgery patients","Cochrane Database of Systematic Reviews","2012",,"11","John Wiley & Sons, Ltd","1465-1858","Adult; Breathing Exercises; Cardiac Surgical Procedures [*adverse effects]; Cause of Death; Elective Surgical Procedures [*adverse effects]; Exercise; Exercise Therapy [*methods]; Humans; Lung Diseases [*prevention & control]; Pneumonia [prevention & control]; Pneumothorax [prevention & control]; Preoperative Care [*methods]; Pulmonary Atelectasis [prevention & control]; Randomized Controlled Trials as Topic","10.1002/14651858.CD010118.pub2","http://dx.doi.org/10.1002/14651858.CD010118.pub2","Heart"
"CD008535.PUB2","Rees, K; Stowe, R; Patel, S; Ives, N; Breen, K; Ben‐Shlomo, Y; Clarke, CE","Anti‐hypertensive drugs as disease‐modifying agents for Parkinson's disease: evidence from observational studies and clinical trials","Cochrane Database of Systematic Reviews","2011",,"11","John Wiley & Sons, Ltd","1465-1858","Adrenergic beta‐Antagonists [adverse effects, therapeutic use]; Antihypertensive Agents [adverse effects, *therapeutic use]; Calcium Channel Blockers [adverse effects, therapeutic use]; Case‐Control Studies; Cohort Studies; Disease Progression; Humans; Parkinson Disease [drug therapy, *prevention & control]; Primary Prevention [methods]; Randomized Controlled Trials as Topic; Secondary Prevention [methods]","10.1002/14651858.CD008535.pub2","http://dx.doi.org/10.1002/14651858.CD008535.pub2","Movement Disorders"
"CD008533.PUB3","Gurusamy, KS; Kumar, S; Davidson, BR","Prophylactic gastrojejunostomy for unresectable periampullary carcinoma","Cochrane Database of Systematic Reviews","2013",,"2","John Wiley & Sons, Ltd","1465-1858","Ampulla of Vater [*surgery]; Common Bile Duct Neoplasms [*surgery]; Gastric Bypass [*methods, mortality]; Gastric Outlet Obstruction [prevention & control]; Humans; Jaundice [prevention & control, surgery]; Length of Stay; Quality of Life; Randomized Controlled Trials as Topic","10.1002/14651858.CD008533.pub3","http://dx.doi.org/10.1002/14651858.CD008533.pub3","Gut"
"CD008531.PUB2","Resende, HM; Jacob, LFP; Quinellato, LV; Matos, D; da Silva, EMK","Combination chemotherapy versus single‐agent chemotherapy during preoperative chemoradiation for resectable rectal cancer","Cochrane Database of Systematic Reviews","2015",,"10","John Wiley & Sons, Ltd","1465-1858",,"10.1002/14651858.CD008531.pub2","http://dx.doi.org/10.1002/14651858.CD008531.pub2","Colorectal"
"CD010119","Lindegren, ML; Kennedy, CE; Bain‐Brickley, D; Azman, H; Creanga, AA; Butler, LM; Spaulding, AB; Horvath, T; Kennedy, GE","Integration of HIV/AIDS services with maternal, neonatal and child health, nutrition, and family planning services","Cochrane Database of Systematic Reviews","2012",,"9","John Wiley & Sons, Ltd","1465-1858","Acquired Immunodeficiency Syndrome [prevention & control]; Child; Child Health Services [*organization & administration]; Delivery of Health Care, Integrated [organization & administration]; Family Planning Services [*organization & administration]; HIV Infections [*prevention & control]; Humans; Infant, Newborn; Maternal Health Services [*organization & administration]; Neonatology [*organization & administration]; Nutritional Sciences","10.1002/14651858.CD010119","http://dx.doi.org/10.1002/14651858.CD010119","HIV/AIDS"
"CD007492.PUB2","Balogh, R; McMorris, CA; Lunsky, Y; Ouellette‐Kuntz, H; Bourne, L; Colantonio, A; Gonçalves‐Bradley, DC","Organising healthcare services for persons with an intellectual disability","Cochrane Database of Systematic Reviews","2016",,"4","John Wiley & Sons, Ltd","1465-1858","*Persons with Mental Disabilities; Health Services for Persons with Disabilities [*organization & administration]; Humans; Mental Disorders [*therapy]; Mental Health Services [*organization & administration]; Randomized Controlled Trials as Topic","10.1002/14651858.CD007492.pub2","http://dx.doi.org/10.1002/14651858.CD007492.pub2","Effective Practice and Organisation of Care"
"CD007491.PUB2","Shepperd, S; Iliffe, S; Doll, HA; Clarke, MJ; Kalra, L; Wilson, AD; Gonçalves‐Bradley, DC","Admission avoidance hospital at home","Cochrane Database of Systematic Reviews","2016",,"9","John Wiley & Sons, Ltd","1465-1858","Home Care Services [economics, *organization & administration]; Home Care Services, Hospital‐Based [economics, *organization & administration]; Hospitalization; Humans; Outcome and Process Assessment, Health Care; Randomized Controlled Trials as Topic","10.1002/14651858.CD007491.pub2","http://dx.doi.org/10.1002/14651858.CD007491.pub2","Effective Practice and Organisation of Care"
